B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B

N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,B,B,B,B,B,B,B,N
N,B,B,B,B,B,B,B,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,B,N,N,N,N,N,N,N
B,B,B,B,P,N,B,N,N
N,N,N,N,N,N,N,N,N

N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,B,B,B,B,B,B,B,N
N,B,B,B,B,B,B,B,N
N,B,N,N,N,N,N,N,N
N,B,N,N,N,N,N,N,N
N,B,N,N,N,N,N,N,N
B,B,B,B,N,N,G,N,N
N,N,N,N,N,N,N,N,N

N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,M,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
