B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,N,N,B
B,B,B,B,B,B,N,N,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B

B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,N,N,N,N
N,N,N,N,N,N,N,N,N
B,B,B,B,B,N,N,N,N
B,B,B,B,B,N,N,N,N
B,B,B,B,B,N,N,N,B
B,B,B,B,B,N,N,N,N

N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,M,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,M,N,P,N,N,N,G
N,N,N,N,N,N,N,N,N

N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
