B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B

N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,P,N,N,N,N
N,N,N,N,N,N,N,N,N

N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,B,N,N,N,N,N,N
N,N,B,N,N,N,N,N,N
B,B,B,B,B,H,H,H,B
N,N,B,N,N,N,N,N,N
N,N,S,N,N,N,N,N,N
N,N,B,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N

N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,M,N,N,N,N,N,N
N,N,N,N,N,N,N,N,G
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
